product_id,product_name,aisle_id,department_id,suggested_products,suggested_pro_aisle_id,suggested_prod_dept,suggested_prod_id
1,chocolate sandwich cookies,61,19,"oreo cookies and cream chocolate frozen dairy dessert,vanilla sugar cookies,gluten free all natural chocolate chip cookies,cookie chips crunchy dark chocolate chocolate chip cookies","[37, 61, 61, 61]","[1, 19, 19, 19]","[591, 576, 172, 559]"
2,all seasons salt,104,13,"thin stackers brown rice salt free,sardines in water salt added,salt free seasoning,nature s seasons seasoning blend","[107, 33, 104, 104]","[19, 6, 13, 13]","[273, 425, 463, 240]"
3,robust golden unsweetened oolong tea,94,7,"almond breeze unsweetened almond coconut milk blend,unsweetened original organic soy non dairy beverage,tea temples green tea with mint,golden cupcakes pack","[91, 91, 94, 61]","[16, 16, 7, 19]","[738, 862, 560, 569]"
4,smart ones classic favorites mini rigatoni with vodka cream sauce,38,1,"mini double chocolate ice cream bars,classic coke,ice cream cookies cream,organic whole wheat rigatoni","[37, 77, 37, 131]","[1, 7, 1, 9]","[997, 649, 431, 774]"
5,green chile anytime sauce,5,13,"petite green peas,apple green cups,caramel sauce,chile con queso potato crisps","[116, 111, 103, 107]","[1, 17, 19, 19]","[969, 846, 275, 851]"
6,dry nose oil,11,11,"dry pasta lasagne,dry roasted pistachios,super dry beer,argan oil of morocco renewing weightless healing dry oil hair oil","[131, 117, 27, 22]","[9, 19, 5, 11]","[913, 304, 379, 214]"
7,pure coconut water with orange,98,7,"coconut drink vanilla,pompelmo water,coconut yogurt,organic apple spinach kale coconut water superjuice","[91, 100, 120, 98]","[16, 21, 16, 7]","[670, 491, 920, 299]"
8,cut russet potatoes steam n mash,116,1,"instant mashed potatoes,fresh cut specialties cut golden wax beans,gold potatoes,zita cut no ","[4, 81, 83, 131]","[9, 15, 4, 9]","[278, 799, 306, 139]"
9,light strawberry blueberry yogurt,120,16,"creamline yogurt wild blueberry,strawberry cheesecake nonfat yogurt,light fit strawberry cheesecake greek nonfat yogurt,yogurt strawberry pomegranate","[120, 100, 120, 120]","[16, 21, 16, 16]","[339, 437, 419, 132]"
10,sparkling orange juice prickly pear beverage,115,7,"sparkling blush grape juice,organic orange turmeric juice,sparkling raspberry lemonade water beverage,apple sparkling juice beverage","[77, 31, 115, 98]","[7, 7, 7, 7]","[167, 488, 334, 618]"
11,peach mango juice,31,7,"soft eating mango flavor liquorice,all natural apple juice,peach aloe vera drink,organic mango peach carrot kickstart smoothie","[45, 98, 98, 116]","[19, 7, 7, 1]","[709, 82, 677, 552]"
12,chocolate fudge layer cake,119,1,"fudge brownies with english walnuts, organic carrot cake,flourless chocolate truffle cake,pound cake cake mix","[61, 8, 8, 105]","[19, 3, 3, 13]","[622, 218, 824, 362]"
13,saline nasal mist,11,11,"restorative biotin conditioner,salted caramel lean protein fiber bar,arrowroot powder,riesling mosel ","[22, 3, 6, 62]","[11, 19, 2, 5]","[730, 25, 506, 551]"
14,fresh scent dishwasher cleaner,74,17,"lemon fresh multi surface cleaner,sweeper open window fresh scent wet mopping cloths refill,with dawn action pacs fresh scent dishwasher detergent pacs,fresh scent dishwasher detergent with dawn","[114, 114, 74, 74]","[17, 17, 17, 17]","[732, 717, 541, 186]"
15,overnight diapers size ,56,18,"snack size candy,swaddlers diapers jumbo pack size newborn,cruisers diapers jumbo pack size ,baby dry diapers size ","[45, 56, 56, 56]","[19, 18, 18, 18]","[630, 765, 682, 879]"
16,mint chocolate flavored syrup,103,19,"mint dental floss,orange flavored sports drink,chocolate mint cookie crunch nutrition bar,slow churned mint chocolate chip ice cream","[20, 64, 3, 37]","[11, 7, 19, 1]","[291, 815, 205, 480]"
17,rendered duck fat,35,12," fat free cream of chicken soup,traditional no fat refried beans, lean fat ground turkey ,plain fat free yogurt","[69, 59, 49, 120]","[15, 15, 12, 16]","[621, 703, 782, 953]"
